Model,Accuracy,Precision,Recall,F1 Score,AUC
DenseNet121,0.8733974358974359,0.9168900804289544,0.8769230769230769,0.8964613368283093,0.9405544597852289
EfficientNetB0,0.7836538461538461,0.7524752475247525,0.9743589743589743,0.8491620111731844,0.916677624369932
MobileNetV2,0.7387820512820513,0.7097966728280961,0.9846153846153847,0.8249194414607949,0.936620644312952
